password|passwordPreErrata|title
55821894|511006010|Amazoness Fighter
67159705|511003055|Armored Cybern
65240384|65240394|Big Shield Gardna
23995346|511006007|Blue-Eyes Ultimate Dragon
87910978|511002995|Brain Control
50321796|511002993|Brionac, Dragon of the Ice Barrier
95727991|511000228|Catapult Turtle
82301904|511000819|Chaos Emperor Dragon - Envoy of the End
57728570|511000822|Crush Card Virus
10248389|511002991|Cyber Blader
40737112|511001039|Dark Magician of Chaos
32646477|511000229|Dark Strike Fighter
80168720|511003028|Darkness Approaches
56570271|511003116|Destiny HERO - Disk Commander
70583986|70583996|Dewloren, Tiger King of the Ice Barrier
28563545|511003018|Dragon Seeker
75043725|511003027|Emissary of the Afterlife
17484499|511000820|Exchange of the Spirit
77565204|511002997|Future Fusion
45894482|511003006|Gilasaurus
07391448|511002994|Goyo Guardian
23265594|511002851|Heavy Mech Support Platform
09995766|09995776|Imperial Custom
61740673|511002996|Imperial Order
16227556|511002982|Inspection
21593977|21593987|Makyura the Destructor
68540059|511006005|Metalmorph
15800838|511003026|Mind Crush
96782886|511003019|Mind Master
47355498|511002998|Necrovalley
96316857|511002983|Recycle
88264978|88264988|Red-Eyes Darkness Metal Dragon
14878871|511002992|Rescue Cat
83555667|511000824|Ring of Destruction
21502796|511003007|Ryko, Lightsworn Hunter
26202165|511002631|Sangan
08131171|511000818|Sinister Serpent
99173029|511003021|Spiritual Energy Settle Machine
05645210|511003054|Splendid Venus
13955608|511003022|Stronghold the Moving Fortress
12923641|511003008|Swords of Concealing Light
15259703|511004007|Toon World
43586926|511000868|Twin-Headed Behemoth
80604092|511003023|Ultimate Offering
15894048|511003009|Ultimate Tyranno
96300057|511002901|W-Wing Catapult
78010363|511003012|Witch of the Black Forest
58996430|511003020|Wulf, Lightsworn Beast
65622692|511002852|Y-Dragon Head
64500000|511002853|Z-Metal Tank
