title|May2002|July2002|October2002|December2002|April2003|May2003|July2003|August2003|November2003|February2004|April2004|August2004|October2004|April2005|October2005|April2006|September2006|March2007|June2007|September2007|March2008|May2008|September2008|March2009|September2009|March2010|September2010
A Hero Lives|||||||||||||||||||||||||||
A-Assault Core|||||||||||||||||||||||||||
ABC-Dragon Buster|||||||||||||||||||||||||||
Abyss Soldier||||||||||||||2|2|3|3|3|3|3|3|3|3|3|3|3|3
Advanced Ritual Art||||||||||||||||||3|3|3|1|1|1|1|1|1|1
Allure of Darkness|||||||||||||||||||||3|2|3|2|2|1|1
Altergeist Multifaker|||||||||||||||||||||||||||
Ancient Fairy Dragon|||||||||||||||||||||||||3|3|3
Apoqliphort Towers|||||||||||||||||||||||||||
Apprentice Magician|||||||||3|3|3|3|3|3|3|2|2|2|2|2|3|3|3|3|3|3|3
Archlord Kristya||||||||||||||||||||||||||3|3
Archnemeses Protos|||||||||||||||||||||||||||
Armageddon Knight|||||||||||||||||||||3|3|3|3|3|3|3
Artifact Moralltach|||||||||||||||||||||||||||
Astrograph Sorcerer|||||||||||||||||||||||||||
Atlantean Dragoons|||||||||||||||||||||||||||
Backup Soldier||||2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Beatrice, Lady of the Eternal|||||||||||||||||||||||||||
Black Dragon Collapserpent|||||||||||||||||||||||||||
Black Luster Soldier - Envoy of the Beginning|||||||||||1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
Black Rose Dragon||||||||||||||||||||||||3|1|1|3
Black Whirlwind|||||||||||||||||||||||||3|2|1
Blackwing - Gale the Whirlwind|||||||||||||||||||||||||1|1|1
Blackwing - Gofu the Vague Shadow|||||||||||||||||||||||||||
Blackwing - Kalut the Moon Shadow|||||||||||||||||||||||||3|3|3
Blackwing - Steam the Cloak|||||||||||||||||||||||||||
Blaster, Dragon Ruler of Infernos|||||||||||||||||||||||||||
Block Dragon|||||||||||||||||||||||||||
Book of Moon||||||||3|3|3|3|3|3|3|1|1|1|1|1|1|2|2|2|3|3|3|3
Book of Taiyou||||||||3|3|3|3|3|3|3|1|3|3|3|3|3|3|3|3|3|3|3|3
Bottomless Trap Hole||||||||||||||3|3|3|3|3|3|3|3|3|3|3|2|2|2
Brain Control|||||||||||||||3|3|3|3|3|1|1|1|1|1|1|1|0
Breaker the Magical Warrior|||||||||1|1|1|1|1|1|1|1|1|0|0|1|0|0|1|1|3|3|3
