title|March2011|September2011|March2012|September2012|March2013|September2013|October2013|January2014|April2014|July2014|October2014|January2015|April2015|July2015|November2015|February2016|April2016|August2016|March2017|June2017|September2017|November2017|February2018|May2018|September2018|December2018|January2019|April2019|July2019|October2019|January2020|April2020|June2020|September2020|December2020
A Hero Lives|||3|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1
A-Assault Core|||||||||||||||||||3|3|3|3|3|3|1|3|3|3|3|3|3|3|3|3|3
ABC-Dragon Buster|||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|2|3
Abyss Soldier|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Advanced Ritual Art|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Allure of Darkness|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Altergeist Multifaker||||||||||||||||||||||||3|3|3|3|3|1|1|1|1|3|3|3
Ancient Fairy Dragon|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Apoqliphort Towers||||||||||||3|3|3|0|0|0|0|0|0|0|0|1|2|3|3|3|3|3|3|3|3|3|3|3
Apprentice Magician|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Archlord Kristya|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Archnemeses Protos|||||||||||||||||||||||||||||||||3|3|3
Armageddon Knight|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1
Artifact Moralltach||||||||||3|3|1|1|1|1|1|1|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3
Astrograph Sorcerer|||||||||||||||||||||3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Atlantean Dragoons|||3|3|3|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3
Backup Soldier|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Beatrice, Lady of the Eternal|||||||||||||||||3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
Black Dragon Collapserpent||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1
Black Luster Soldier - Envoy of the Beginning|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3
Black Rose Dragon|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Black Whirlwind|1|1|1|1|1|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Blackwing - Gale the Whirlwind|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Blackwing - Gofu the Vague Shadow||||||||||||||||||3|3|3|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0
