title|May2002|July2002|October2002|December2002|April2003|May2003|July2003|August2003|November2003|February2004|April2004|August2004|October2004|April2005|October2005|April2006|September2006|March2007|June2007|September2007|March2008|May2008|September2008|March2009|September2009|March2010|September2010|title|March2011|September2011|March2012|September2012|March2013|September2013|October2013|January2014|April2014|July2014|October2014|January2015|April2015|July2015|November2015|February2016|April2016|August2016|March2017|June2017|September2017|November2017|February2018|May2018|September2018|December2018|January2019|April2019|July2019|October2019|January2020|April2020|June2020|September2020|December2020
A Hero Lives||||||||||||||||||||||||||||A Hero Lives|||3|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1|1
A-Assault Core||||||||||||||||||||||||||||A-Assault Core|||||||||||||||||||3|3|3|3|3|3|1|3|3|3|3|3|3|3|3|3|3
ABC-Dragon Buster||||||||||||||||||||||||||||ABC-Dragon Buster|||||||||||||||||||3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|2|3
Abyss Soldier||||||||||||||2|2|3|3|3|3|3|3|3|3|3|3|3|3|Abyss Soldier|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Advanced Ritual Art||||||||||||||||||3|3|3|1|1|1|1|1|1|1|Advanced Ritual Art|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Allure of Darkness|||||||||||||||||||||3|2|3|2|2|1|1|Allure of Darkness|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Altergeist Multifaker||||||||||||||||||||||||||||Altergeist Multifaker||||||||||||||||||||||||3|3|3|3|3|1|1|1|1|3|3|3
Ancient Fairy Dragon|||||||||||||||||||||||||3|3|3|Ancient Fairy Dragon|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|0|0|0|0|0|0|0|0|0|0|0|0
Apoqliphort Towers||||||||||||||||||||||||||||Apoqliphort Towers||||||||||||3|3|3|0|0|0|0|0|0|0|0|1|2|3|3|3|3|3|3|3|3|3|3|3
Apprentice Magician|||||||||3|3|3|3|3|3|3|2|2|2|2|2|3|3|3|3|3|3|3|Apprentice Magician|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Archlord Kristya||||||||||||||||||||||||||3|3|Archlord Kristya|2|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3
Archnemeses Protos||||||||||||||||||||||||||||Archnemeses Protos|||||||||||||||||||||||||||||||||3|3|3
Armageddon Knight|||||||||||||||||||||3|3|3|3|3|3|3|Armageddon Knight|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|1|1|1|1
